年,筛选器,选中,覆盖牛股,召回率,lift,随机95分位,代码,名称,行业
当前,20日波动率(高),,,,,,688531,日联科技,机械设备-专用设备
当前,20日波动率(高),,,,,,688485,九州一轨,机械设备-轨交设备
当前,20日波动率(高),,,,,,301319,唯特偶,电子-电子化学品
当前,流通市值(小),,,,,,301287,康力源,轻工制造-文娱用品
当前,流通市值(小),,,,,,300784,利安科技,化工-塑料
当前,流通市值(小),,,,,,301578,辰奕智能,电子-其他电子
当前,流通市值(小),,,,,,301575,艾芬达,轻工制造-家居用品
当前,流通市值(小),,,,,,301567,贝隆精密,电子-消费电子
当前,流通市值(小),,,,,,301314,科瑞思,电子-其他电子
当前,流通市值(小),,,,,,301353,普莱得,机械设备-通用设备
当前,流通市值(小),,,,,,301429,森泰股份,建材-装饰建材
